run_id,task_id,status,score,cost_usd,tokens_in,tokens_out,cache_hit,cache_miss,turns,max_turns,wall_sec,llm_wall_sec_db,llm_wall_sec_recompute,bash_total_sec,qe_bash_db,qe_self_db,qe_wall_real,qe_derived,harness_residual,n_turns_seen,n_with_llm_wall,n_out_files,gpu_util_p50,gpu_util_p95,gpu_util_max,mem_util_p95,mem_used_p95_mib,power_p95_w,temp_max,throttle_count,n_gpu_samples,bottleneck
2026-05-10T06-59-18Z_M1_T1_CaO_vc_relax,M1_T1_CaO_vc_relax,done,1.0,0.014997598828696924,265820,8430,250624,15196,17,100,331.0,313.978894257918,313.978894257918,16.4,13.209999999999999,12.14,11.9,13.831105742082,1.931105742082,17,17,1,0.0,43.0,54.0,0.0,1835.0,129.68,29.0,0,132,underutilized
2026-05-10T07-00-10Z_M1_T1_Ca_vc_relax,M1_T1_Ca_vc_relax,done,1.0,0.0128904831625183,273556,7685,261760,11796,23,100,325.25,285.0930750807747,285.0930750807747,39.53,38.46,35.25,34.5,39.086924919225275,4.586924919225275,23,23,1,0.0,54.0,60.0,0.0,1835.0,134.32,32.0,0,130,underutilized
2026-05-10T07-01-00Z_M1_T1_CdS_vc_relax,M1_T1_CdS_vc_relax,done,1.0,0.020804128843338213,404273,12961,386048,18225,25,100,525.23,476.60997836012393,476.60997836012393,47.96,47.13,43.14,42.6,47.79002163987609,5.190021639876086,25,25,1,0.0,96.0,98.0,6.0,5073.0,162.44,32.0,0,210,compute
2026-05-10T07-03-25Z_M1_T1_CdSe_vc_relax,M1_T1_CdSe_vc_relax,done,1.0,0.017460204978038067,312858,11070,297728,15130,22,100,440.64,400.3203081795946,400.3203081795946,39.65,36.61,32.88,32.1,37.27969182040541,5.179691820405409,22,22,2,0.0,98.0,99.0,7.0,5097.0,163.63,32.0,0,176,compute
2026-05-10T07-04-50Z_M1_T1_CdTe_vc_relax,M1_T1_CdTe_vc_relax,done,1.0,0.018149399707174232,401374,10500,384256,17118,28,100,883.24,388.2896910952404,388.2896910952404,494.30999999999995,493.89,120.78,118.8,494.53030890475964,375.7303089047596,28,28,1,35.0,98.0,99.0,14.0,5333.0,185.47,32.0,0,352,compute
2026-05-10T07-05-36Z_M1_T1_Cd_vc_relax,M1_T1_Cd_vc_relax,failed,,0.11257250366032209,6491795,65799,6420608,71187,100,100,11147.42,2360.863439038396,2360.863439038396,8785.6,1108.49,1717.1099999999994,1582.0,1109.4465609616036,-472.5534390383964,100,100,33,45.0,94.0,99.0,17.0,13259.0,196.1,36.0,0,4454,compute
2026-05-10T07-09-46Z_M1_T1_CsCl_vc_relax,M1_T1_CsCl_vc_relax,done,1.0,0.01308904831625183,272597,6550,258048,14549,23,100,282.94,244.24008613917977,244.24008613917977,38.06,37.34,31.06,29.9,37.97991386082023,8.079913860820234,23,23,1,38.0,98.0,99.0,11.0,5333.0,180.0,32.0,0,114,compute
2026-05-10T07-10-48Z_M1_T1_Cu_vc_relax,M1_T1_Cu_vc_relax,done,1.0,0.024359648609077595,645948,14917,625536,20412,31,100,3508.27,540.2279244381934,540.2279244381934,2967.37,2961.98,1157.99,9389.7,2962.6520755618067,-6427.047924438193,31,31,4,42.0,96.0,99.0,16.0,7314.0,189.4,33.0,0,1402,compute
2026-05-10T07-14-30Z_M1_T1_GaAs_vc_relax,M1_T1_GaAs_vc_relax,done,1.0,0.016302284040995606,306701,10736,293504,13197,22,100,483.3,387.4483181349933,387.4483181349933,95.2,91.95,85.28,83.0,92.6016818650067,9.601681865006697,22,22,2,38.0,64.0,76.0,17.0,5333.0,195.05,33.0,0,194,compute
2026-05-10T07-19-35Z_M1_T1_GaN_vc_relax,M1_T1_GaN_vc_relax,done,1.0,0.01623891654465593,321105,8920,304512,16593,22,100,397.44,324.3670012578368,324.3670012578368,72.42,71.36,66.38,65.3,72.01299874216318,6.71299874216318,22,22,1,37.0,67.0,74.0,18.0,5013.0,198.68,33.0,0,158,compute
